TASK_ID,ONET_SOC_CODE,AI_EXPOSURE_SCORE,AUTOMATION_SCORE,AUGMENTATION_SCORE,CONFIDENCE,RATIONALE,REVIEW_STATUS,SCORING_RUN_ID,RUBRIC_VERSION,RUBRIC_HASH,PROMPT_VERSION,MODEL_ID,SCORED_AT,ERROR_MESSAGE
13257,43-2021.00,0.8,0.8,0.6,0.7,Updating directory information is near-pure structured data maintenance AI can run end to end.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
23652,51-9124.00,0.2,0.2,0.1,0.8,Applying undercoats and caulking seams is a manual coating act with negligible digital leverage.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
12042,51-4062.00,0.2,0.2,0.2,0.7,Repairing and reworking physical templates and patterns is hands-on craftwork with only a thin spec-lookup edge.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
15988,13-2099.01,0.7,0.5,0.8,0.7,"Producing written summaries of financial research is language-and-data work AI drafts strongly, with analyst sign-off.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
14106,51-6042.00,0.2,0.2,0.1,0.8,Hammering loose staples for attachment is a pure manual bench act with no information content.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
9699,41-9031.00,0.5,0.3,0.6,0.6,"Training team members is interpersonal instruction, but AI can build and personalize the technical materials.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
18844,11-9171.00,0.6,0.4,0.7,0.6,"Setting and monitoring financial goals is analytical planning AI supports, though targets and accountability rest with the manager.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
15182,53-7031.00,0.2,0.1,0.3,0.6,"Directing and assisting crews rigging anchors and pipes is physical, in-person coordination AI cannot perform.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
13609,47-3011.00,0.2,0.2,0.1,0.8,Removing damaged tile and mortar and cleaning surfaces is manual demolition; matches the physical-floor boundary case.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19462,51-5113.00,0.2,0.2,0.2,0.7,"Lubricating, cleaning, and minor mechanical repair of machine parts is hands-on maintenance with a thin manual-lookup edge.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
20697,53-3032.00,0.2,0.2,0.1,0.8,Wrapping and securing goods with pads and straps is a purely physical loading act.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
12623,51-9195.03,0.2,0.2,0.2,0.7,Guiding nozzles and chipping stone by hand to follow stencils is manual carving craft with limited digital leverage.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
18396,29-1171.00,0.6,0.3,0.7,0.6,"Dosing decisions are algorithmic and AI-assistable, but prescribing requires licensed clinical accountability that caps replacement.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
4982,53-7041.00,0.2,0.3,0.2,0.7,Physically operating hoists and winches to move loads is real-time bodily machine control with only a thin edge for AI.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
5766,25-1032.00,0.6,0.5,0.6,0.7,"Maintaining grades and attendance records is genuine data work AI helps with, but embedded in a classroom role with privacy stakes.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
20185,13-2052.00,0.5,0.3,0.6,0.6,"Recruiting and retaining clients is relationship-driven, though AI can support outreach, CRM, and lead targeting.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
23247,43-3021.00,0.6,0.6,0.5,0.6,"Routing statements for mailing or delivery is clerical workflow largely automatable, with a residual physical handoff.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
12730,53-2021.00,0.5,0.3,0.5,0.6,"Monitoring airspace via radar and vision is analytical work AI aids, but safety-critical accountability keeps the controller in charge.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
4875,47-4051.00,0.2,0.3,0.2,0.7,Driving trucks to transport crews and equipment is a physical operation with only near-term partial autonomy potential.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
6503,25-2012.00,0.2,0.1,0.3,0.7,"Demonstrating activities to kindergartners is embodied, in-person instruction AI cannot deliver.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
7068,47-2051.00,0.2,0.2,0.2,0.8,Waterproofing and restoring concrete with compounds is manual application work with negligible digital component.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
20710,13-1022.00,0.6,0.4,0.6,0.6,"Buying merchandise is analytical trend-and-price work AI supports, but selection, negotiation, and contracts need human judgment.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
14624,15-1221.00,0.6,0.4,0.7,0.6,"Assigning and scheduling tasks to priorities is digital planning AI drafts well, though the lead owns the decisions.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
14267,51-7021.00,0.2,0.2,0.1,0.8,Wiping excess solvent with thinner-soaked cloths is a pure manual finishing act.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
3704,19-2042.00,0.5,0.3,0.6,0.6,"Field collection is physical, but examining, measuring, and classifying specimens is analytical work AI vision meaningfully aids.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
3519,17-1021.00,0.7,0.4,0.7,0.6,"Determining map content, layout, and specs is digital GIS and design work AI strongly assists, with cartographer directing production.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
9020,17-2131.00,0.4,0.2,0.5,0.6,Teaching in universities is interpersonal instruction; AI aids prep and content but not the in-person delivery.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
14583,53-7063.00,0.5,0.5,0.5,0.6,"Defect inspection against specs is well-suited to AI vision, but physical handling on the line keeps a person present.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
1554,19-4042.00,0.6,0.4,0.6,0.6,"Recommending controls for unsafe conditions is analytical language work AI supports, though field judgment and accountability remain.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
266,21-1022.00,0.5,0.3,0.6,0.6,"Modifying treatment plans involves clinical judgment and client rapport, though AI aids documentation and options.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
10529,51-9083.00,0.2,0.3,0.2,0.7,Mounting and securing lens blanks in machine chucks is manual precision handling with only a thin digital edge.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
8411,49-9011.00,0.2,0.2,0.2,0.7,Covering treadles with carpeting and testing by operating them is a physical install-and-check task.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19576,13-2099.01,0.7,0.4,0.8,0.6,Developing assessment tools for green products is quantitative modeling and coding AI strongly accelerates under analyst ownership.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
16433,17-2141.02,0.6,0.3,0.7,0.6,Design reviews are analytical and collaborative; AI surfaces issues and analyses but engineers own the judgment and sign-off.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
9417,31-9094.00,0.9,0.85,0.6,0.85,"Expanding jargon and abbreviations is near-pure text transformation AI already does end to end, though clinical accuracy invites review.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
21490,13-1199.07,0.3,0.2,0.4,0.75,On-site inspection of physical security systems is hands-on; AI aids checklists and readout analysis but cannot perform the walkthrough.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
12037,51-4062.00,0.5,0.35,0.6,0.7,"Blueprint interpretation, dimensioning, and sequence planning are analytical and AI-assistable, but tied to hands-on pattern craft and shop judgment.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
15894,13-1081.02,0.75,0.6,0.75,0.8,"Ongoing cost and delivery analysis is data-driven and highly AI-tractable, capped by human accountability for recommendations.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
21061,19-4071.00,0.6,0.5,0.65,0.75,"Digital mapping of tract data is a software task AI accelerates strongly, though field context and verification keep a person involved.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
23880,53-7065.00,0.2,0.1,0.2,0.85,Stocking shelves is a purely physical handling act with only a thin inventory-lookup digital edge.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
4447,39-3011.00,0.2,0.15,0.2,0.85,Dealing and comparing cards at a live table is embodied in-person work; the rule logic is trivial but the act is physical.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
21112,25-1032.00,0.7,0.4,0.75,0.75,"Manuscript review is language and analytical work AI strongly assists, but expert scholarly judgment and accountability keep the human deciding.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
13654,47-4061.00,0.25,0.2,0.3,0.75,Observing indicator arms for track levelness is field sensing on heavy equipment; AI could read sensors but the task is on-site operation.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
8768,47-2022.00,0.2,0.1,0.25,0.85,Setting alignment with plumb bob and level is skilled manual masonry; only a spec lookup is digital.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
18411,29-1299.01,0.5,0.3,0.6,0.75,Patient interview blends in-person rapport with documentation AI can draft; clinical accountability caps replacement.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
22962,33-2011.00,0.1,0.05,0.1,0.9,Donning protective gear and breathing apparatus is a pure bodily act with no information component.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
16112,15-1243.00,0.7,0.45,0.75,0.8,"Setting and enforcing database standards is digital knowledge work AI drafts well, but organizational judgment and ownership rest with the architect.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
16353,17-2072.01,0.55,0.4,0.65,0.7,RFID technical support mixes on-site hardware troubleshooting with diagnostics and documentation AI can meaningfully accelerate.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
9730,43-1011.00,0.45,0.3,0.55,0.7,Coordinating shipping and distribution blends schedulable digital coordination with physical oversight of a front-line workflow.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
6045,25-1065.00,0.35,0.15,0.45,0.7,Committee service is interpersonal governance requiring human presence and judgment; AI only aids prep and note-taking.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
11283,43-4021.00,0.8,0.7,0.7,0.8,Computing record costs and drafting collection letters is standalone clerical language and calculation work AI handles under light review.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
20314,11-9179.01,0.65,0.4,0.7,0.75,"Interpreting insurance and HRA data to design programs is analytical and AI-assistable, but program judgment stays human.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19817,19-5012.00,0.3,0.2,0.4,0.75,Testing and balancing HVAC systems requires on-site instrumentation and physical adjustment; AI helps interpret readings only.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
20248,19-5012.00,0.3,0.2,0.4,0.75,Verifying and monitoring safety equipment use is a physical walkthrough duty; logging and tracking are the exposed edge.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
21211,51-9195.05,0.2,0.1,0.2,0.85,Mixing and spray-applying glazes is a manual craft act with only a recipe lookup exposed.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
10141,51-4033.00,0.2,0.15,0.2,0.85,"Lifting, positioning, and clamping workpieces is physical machine-tending with a thin digital edge.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
5540,19-4012.00,0.25,0.15,0.3,0.75,Nursery propagation and seed germination are hands-on horticultural tasks; AI only aids environmental scheduling and records.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
14107,51-6042.00,0.2,0.15,0.25,0.8,Turning knobs to adjust stitch and tension is manual machine operation with negligible information content.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19414,49-2021.00,0.3,0.2,0.4,0.75,Taking site and work photos is physical field documentation; AI can organize and tag images but not capture them on site.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
3547,17-1022.00,0.3,0.2,0.4,0.7,Locating and marking prospecting sites is field work requiring physical presence; AI assists coordinate planning and mapping.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
22724,29-1214.00,0.55,0.25,0.65,0.75,"Identifying patient-management factors is clinical reasoning AI can support, but high-stakes emergency judgment and liability stay with the physician.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
9549,37-2011.00,0.2,0.1,0.15,0.85,Cleaning and polishing furniture is a pure manual act with no meaningful information component.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
6212,25-1111.00,0.45,0.2,0.55,0.7,Serving as department head is leadership and administration; AI drafts documents and analyses but decisions and relationships stay human.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
191,19-1029.04,0.6,0.35,0.7,0.7,"Preparing resource-management plans is analytical, document-heavy knowledge work AI strongly drafts, capped by scientific accountability.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
21951,17-3012.00,0.7,0.5,0.75,0.8,"CAD drafting of circuit and assembly drawings is digital design AI increasingly generates, with drafter verification of correctness.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
88,13-1051.00,0.7,0.6,0.65,0.8,Preparing and maintaining a supplier directory is structured data management AI can largely run with light oversight.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
15341,33-9093.00,0.45,0.3,0.55,0.7,"X-ray image inspection is a vision task AI does well, but on-site presence and security accountability keep the screener in the loop.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
6485,25-2011.00,0.25,0.1,0.3,0.8,"Organizing, labeling, and displaying children's work is a physical classroom task with only a light planning edge.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
653,39-5012.00,0.15,0.05,0.15,0.85,Giving facials with lotions and creams is hands-on in-person body work AI cannot perform.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19924,53-6051.07,0.35,0.25,0.4,0.75,Attaching OBD cables and running emissions inspections is physical hookup work; AI interprets diagnostic data but not the connection.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
16991,19-4099.03,0.75,0.6,0.7,0.8,Integrating remotely sensed and geospatial data is a software and data-processing task AI can largely execute under review.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
6688,25-2032.00,0.35,0.15,0.5,0.75,Guiding and counseling students is relationship-based mentoring; AI can surface resources but the human bond is the point.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
22551,27-2041.00,0.55,0.4,0.65,0.7,Transcribing musical ideas into notation is part creative origination and part notation AI tools handle capably.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
1361,17-2071.00,0.6,0.35,0.7,0.7,"Developing capital project programs is analytical planning and documentation AI accelerates, with engineering judgment retained.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
10720,53-6031.00,0.4,0.3,0.45,0.7,"Ordering, pricing, and shelving stock blends automatable ordering and pricing with the physical shelving act.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
2208,35-2021.00,0.15,0.05,0.15,0.85,Removing trash and cleaning containers is a pure physical chore with no information component.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
5538,19-4012.00,0.4,0.25,0.5,0.7,Conducting field disease and insect surveys mixes physical scouting with data recording and identification AI can assist.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19665,17-2199.07,0.6,0.3,0.7,0.7,"Designing photonic energy devices is expert engineering AI can model and assist, but novel design ownership and validation stay human.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
2605,43-4071.00,0.5,0.4,0.55,0.7,"Purging and transferring records is clerical decision-making AI can flag, but physical destruction and legal retention judgment remain.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
15992,13-2099.01,0.5,0.25,0.6,0.7,Consulting traders to scope analytical needs is interpersonal requirements-gathering; AI aids synthesis but the dialogue is human.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19529,11-9199.01,0.5,0.25,0.6,0.7,Building agency relationships and analyzing policy impacts blends interpersonal trust with AI-assistable regulatory analysis.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
19607,17-2051.00,0.6,0.3,0.7,0.75,"Designing sustainable civil structures is analytical engineering AI strongly assists, but licensed accountability caps replacement.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
15725,13-1199.06,0.7,0.45,0.75,0.75,"Developing and revising business plans is language- and analysis-heavy work AI drafts well, with owner judgment on strategy.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
20751,27-1023.00,0.2,0.15,0.25,0.8,Delivering arrangements is a physical transport and customer task; AI only aids routing and delivery scheduling.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
22946,33-1091.00,0.3,0.2,0.35,0.6,"Hands-on inspection and physical adjustment of equipment dominate, though system diagnostics and logging give a modest digital edge.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
23583,51-4121.00,0.15,0.1,0.15,0.7,"Operating safety gear and practicing safe habits is a bodily, in-person behavior with only a thin reference edge.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
22730,29-1214.00,0.55,0.3,0.65,0.6,"Interpreting imaging and labs is strongly AI-assisted, but performing procedures and physician accountability cap replacement.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
17794,47-4099.03,0.2,0.1,0.2,0.75,Physical repair with hand and power tools; only spec lookup gives a thin digital edge.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
1793,27-3041.00,0.5,0.2,0.55,0.55,Directing policy and departments is a leadership and accountability role AI can inform but not own.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
17861,51-8013.03,0.35,0.3,0.35,0.6,Physically operating and monitoring boiler equipment per specs; control systems automate parts but hands-on presence remains.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
1106,11-9081.00,0.6,0.55,0.6,0.7,"Shift scheduling and duty assignment are structured optimization tasks AI handles well, with manager judgment on edge cases.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
13788,49-9031.00,0.2,0.1,0.25,0.75,Physically disassembling appliances is manual dexterity work; only diagnostic lookup has a digital component.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
11222,37-1012.00,0.4,0.2,0.45,0.6,"Fee negotiation is interpersonal and trust-based, though AI can prep pricing and estimate support.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
5985,25-1063.00,0.7,0.5,0.75,0.7,"Drafting syllabi, assignments, and handouts is language generation AI does well, under instructor review and tailoring.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
20390,19-2042.00,0.7,0.5,0.75,0.7,Locating and reviewing research and reports is retrieval and summarization AI accelerates strongly under expert curation.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
13768,49-3051.00,0.2,0.1,0.2,0.75,Setting locks and aligning controls with hand tools is manual mechanical work with only a spec-lookup edge.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
11129,35-1011.00,0.35,0.2,0.4,0.6,"Monitoring sanitation is in-person observation and staff correction, though digital checklists aid tracking.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
1547,19-4031.00,0.5,0.25,0.6,0.55,Developing new processes blends AI-assisted design and modeling with hands-on experimental validation in the lab.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
17029,25-3041.00,0.6,0.5,0.6,0.65,"Maintaining assessment and progress records is largely clerical data work AI handles, with confidentiality oversight.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
11080,19-5011.00,0.2,0.1,0.2,0.7,"Treating, compacting, packaging, and labeling hazardous waste is physical handling with a thin labeling edge.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
9953,49-3011.00,0.2,0.15,0.25,0.75,Measuring cable tension is a physical instrument reading; only the recorded value is digital.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
1612,21-1014.00,0.5,0.25,0.55,0.55,"Program planning is AI-assistable content and design work, but conducting community programs is interpersonal delivery.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
10425,51-5111.00,0.45,0.4,0.45,0.6,"Selecting plates by run length is a rule-based decision AI can drive, embedded in a hands-on prepress role.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
