TASK_ID,ONET_SOC_CODE,MAJOR_GROUP,OCCUPATION_TITLE,TASK_TYPE,IMPORTANCE_RAW,TASK_STATEMENT,OCCUPATION_DESCRIPTION,ai_exposure_annot1,automation_annot1,augmentation_annot1
13993,51-3023.00,51,Slaughterers and Meat Packers,Supplemental,4.2,"Trim, clean, or cure animal hides.","Perform nonroutine or precision functions involving the preparation of large portions of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. Work typically occurs in slaughtering, meat packing, or wholesale establishments.",0.2,0.1,0.2
6374,25-1125.00,25,"History Teachers, Postsecondary",Core,3.88,"Supervise undergraduate or graduate teaching, internship, and research work.",Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,0.65,0.2,0.85
12734,53-2021.00,53,Air Traffic Controllers,Core,4.76,Direct pilots to runways when space is available or direct them to maintain a traffic pattern until there is space for them to land.,"Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.",0.2,0,0.4
2551,43-3071.00,43,Tellers,Core,4.79,"Receive checks and cash for deposit, verify amounts, and check accuracy of deposit slips.",Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.,0.5,0.3,0.55
1105,11-9081.00,11,Lodging Managers,Core,4.53,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.","Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",0.4,0.15,0.6
17765,47-2231.00,47,Solar Photovoltaic Installers,Core,4.35,"Determine materials, equipment, and installation sequences necessary to maximize installation efficiency.","Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks.",0.45,0.2,0.6
13257,43-2021.00,43,Telephone Operators,Core,4.12,Update directory information.,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",0.9,0.65,0.85
23652,51-9124.00,51,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Core,4.15,Apply rust-resistant undercoats and caulk and seal seams.,"Set up, operate, or tend spraying or rolling machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials. Includes painters of transportation vehicles such as painters in auto body repair facilities.",0.45,0.25,0.55
12042,51-4062.00,51,"Patternmakers, Metal and Plastic",Core,3.85,Repair and rework templates and patterns.,"Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.",0.2,0.1,0.2
15988,13-2099.01,13,Financial Quantitative Analysts,Core,3.65,Produce written summary reports of financial research results.,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",0.8,0.6,0.8
14106,51-6042.00,51,Shoe Machine Operators and Tenders,Supplemental,3.62,Hammer loose staples for proper attachment.,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.",0.2,0.1,0.2
9699,41-9031.00,41,Sales Engineers,Core,3.16,Train team members in the customer applications of technologies.,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",0.4,0.15,0.6
18844,11-9171.00,11,Funeral Home Managers,Core,3.55,"Set marketing, sales, or other financial goals for funeral service establishments and monitor progress toward these goals.","Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",0.8,0.6,0.8
15182,53-7031.00,53,Dredge Operators,Core,3.83,"Direct or assist workers placing shore anchors and cables, laying additional pipes from dredges to shore, and pumping water from pontoons.","Operate dredge to remove sand, gravel, or other materials in order to excavate and maintain navigable channels in waterways.",0.4,0.1,0.7
13609,47-3011.00,47,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Core,3.55,"Remove damaged tile, brick, or mortar, and clean or prepare surfaces, using pliers, hammers, chisels, drills, wire brushes, or metal wire anchors.","Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.",0.5,0.2,0.6
19462,51-5113.00,51,Print Binding and Finishing Workers,Core,4.4,"Lubricate, clean, or make minor repairs to machine parts to keep machines in working condition.",Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,0.2,0.1,0.2
20697,53-3032.00,53,Heavy and Tractor-Trailer Truck Drivers,Supplemental,3.94,"Wrap and secure goods using pads, packing paper, containers, or straps.","Drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license. Includes tow truck drivers.",0.45,0.25,0.55
12623,51-9195.03,51,"Stone Cutters and Carvers, Manufacturing",Supplemental,3.82,"Guide nozzles over stone, following stencil outlines, or chip along marks to create designs or to work surfaces down to specified finishes.",Cut or carve stone according to diagrams and patterns.,0.45,0.25,0.55
18396,29-1171.00,29,Nurse Practitioners,Core,4.78,"Prescribe medication dosages, routes, and frequencies, based on such patient characteristics as age and gender.","Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",0.4,0,0.7
4982,53-7041.00,53,Hoist and Winch Operators,Core,4.35,"Operate compressed air, diesel, electric, gasoline, or steam-driven hoists or winches to control movement of cableways, cages, derricks, draglines, loaders, railcars, or skips.",Operate or tend hoists or winches to lift and pull loads using power-operated cable equipment.,0.2,0.1,0.2
5766,25-1032.00,25,"Engineering Teachers, Postsecondary",Core,3.81,"Maintain student attendance records, grades, and other required records.","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.2,0.1,0.2
20185,13-2052.00,13,Personal Financial Advisors,Core,3.5,Recruit and maintain client bases.,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",0.2,0.1,0.2
23247,43-3021.00,43,Billing and Posting Clerks,Core,3.86,Route statements for mailing or over-the-counter delivery to customers.,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",0.45,0.25,0.55
12730,53-2021.00,53,Air Traffic Controllers,Core,4.74,"Monitor aircraft within a specific airspace, using radar, computer equipment, or visual references.","Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.",0.45,0.1,0.6
4875,47-4051.00,47,Highway Maintenance Workers,Core,4.27,Drive trucks to transport crews and equipment to work sites.,"Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement and repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road, or plow snow from roadway.",0.2,0.1,0.2
6503,25-2012.00,25,"Kindergarten Teachers, Except Special Education",Core,4.55,Demonstrate activities to children.,Teach academic and social skills to kindergarten students.,0.45,0.25,0.55
7068,47-2051.00,47,Cement Masons and Concrete Finishers,Core,3.55,"Waterproof or restore concrete surfaces, using appropriate compounds.","Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints.",0.45,0.25,0.55
20710,13-1022.00,13,"Wholesale and Retail Buyers, Except Farm Products",Core,4.56,Buy merchandise or commodities for resale to wholesale or retail consumers.,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",0.45,0.2,0.6
14624,15-1221.00,15,Computer and Information Research Scientists,Core,3.76,Assign or schedule tasks to meet work priorities and goals.,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",0.85,0.65,0.8
14267,51-7021.00,51,Furniture Finishers,Core,4.01,"Remove excess solvent, using cloths soaked in paint thinner.","Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.",0.2,0.1,0.2
3704,19-2042.00,19,"Geoscientists, Except Hydrologists and Geographers",Core,4.38,"Investigate the composition, structure, or history of the Earth's crust through the collection, examination, measurement, or classification of soils, minerals, rocks, or fossil remains.","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.",0.45,0.25,0.55
3519,17-1021.00,17,Cartographers and Photogrammetrists,Core,3.75,"Determine map content and layout, as well as production specifications such as scale, size, projection, and colors, and direct production to ensure that specifications are followed.","Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.",0.4,0.05,0.7
9020,17-2131.00,17,Materials Engineers,Supplemental,3.43,Teach in colleges and universities.,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",0.4,0.15,0.6
14583,53-7063.00,53,Machine Feeders and Offbearers,Core,4.4,"Inspect materials and products for defects, and to ensure conformance to specifications.",Feed materials into or remove materials from machines or equipment that is automatic or tended by other workers.,0.45,0.25,0.55
1554,19-4042.00,19,"Environmental Science and Protection Technicians, Including Health",Core,3.44,Make recommendations to control or eliminate unsafe conditions at workplaces or public facilities.,"Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.",0.45,0.25,0.55
266,21-1022.00,21,Healthcare Social Workers,Core,4.08,Modify treatment plans to comply with changes in clients' status.,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",0.45,0.2,0.6
10529,51-9083.00,51,Ophthalmic Laboratory Technicians,Core,4.78,"Mount and secure lens blanks or optical lenses in holding tools or chucks of cutting, polishing, grinding, or coating machines.","Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.",0.45,0.25,0.55
8411,49-9011.00,49,Mechanical Door Repairers,Supplemental,2.99,"Cover treadles with carpeting or other floor covering materials, and test systems by operating treadles.","Install, service, or repair automatic door mechanisms and hydraulic doors. Includes garage door mechanics.",0.45,0.25,0.55
19576,13-2099.01,13,Financial Quantitative Analysts,Supplemental,2.44,"Develop tools to assess green technologies or green financial products, such as green hedge funds or social responsibility investment funds.","Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",0.8,0.6,0.8
16433,17-2141.02,17,Automotive Engineers,Core,3.63,Conduct automotive design reviews.,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",0.8,0.6,0.8
9417,31-9094.00,31,Medical Transcriptionists,Core,4.61,Translate medical jargon and abbreviations into their expanded forms to ensure the accuracy of patient and health care facility records.,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction.",0.9,0.8,0.9
21490,13-1199.07,13,Security Management Specialists,Core,3.56,"Inspect fire, intruder detection, or other security systems.","Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",0.45,0.2,0.6
12037,51-4062.00,51,"Patternmakers, Metal and Plastic",Core,3.79,"Read and interpret blueprints or drawings of parts to be cast or patterns to be made, compute dimensions, and plan operational sequences.","Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.",0.8,0.6,0.8
15894,13-1081.02,13,Logistics Analysts,Core,3.95,"Provide ongoing analyses in areas such as transportation costs, parts procurement, back orders, or delivery processes.","Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",0.45,0.25,0.55
21061,19-4071.00,19,Forest and Conservation Technicians,Core,3.27,Map forest tract data using digital mapping systems.,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.",0.8,0.6,0.8
23880,53-7065.00,53,Stockers and Order Fillers,Core,4.21,"Stock shelves, racks, cases, bins, and tables with new or transferred merchandise.","Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays.",0.45,0.25,0.55
4447,39-3011.00,39,Gambling Dealers,Core,4.78,"Deal cards to house hands, and compare these with players' hands to determine winners, as in black jack.","Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands.",0.45,0.25,0.55
21112,25-1032.00,25,"Engineering Teachers, Postsecondary",Supplemental,2.92,Review manuscripts for professional journals.,"Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.8,0.6,0.8
13654,47-4061.00,47,Rail-Track Laying and Maintenance Equipment Operators,Core,4.1,Observe leveling indicator arms to verify levelness and alignment of tracks.,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators.",0.5,0.3,0.55
8768,47-2022.00,47,Stonemasons,Core,4.58,"Set vertical and horizontal alignment of structures, using plumb bob, gauge line, and level.","Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors.",0.45,0.25,0.55
18411,29-1299.01,29,Naturopathic Physicians,Core,4.84,Interview patients to document symptoms and health histories.,"Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies.",0.65,0.25,0.8
22962,33-2011.00,33,Firefighters,Core,4.62,Dress with equipment such as fire-resistant clothing and breathing apparatus.,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",0.45,0.15,0.6
16112,15-1243.00,15,Database Architects,Core,4,Create and enforce database development standards.,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",0.8,0.6,0.8
16353,17-2072.01,17,Radio Frequency Identification Device Specialists,Core,3.79,Provide technical support for radio frequency identification device (RFID) technology.,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,0.8,0.6,0.8
9730,43-1011.00,43,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,3.22,"Coordinate or perform activities associated with shipping, receiving, distribution, or transportation.",Directly supervise and coordinate the activities of clerical and administrative support workers.,0.45,0.25,0.55
6045,25-1065.00,25,"Political Science Teachers, Postsecondary",Core,3.34,"Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.","Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.45,0.25,0.55
11283,43-4021.00,43,Correspondence Clerks,Supplemental,3.57,"Compute costs of records furnished to requesters, and write letters to obtain payment.","Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and preparing correspondence.",0.8,0.6,0.85
20314,11-9179.01,11,Fitness and Wellness Coordinators,Supplemental,3.2,Interpret insurance data or Health Reimbursement Account (HRA) data to develop programs that address specific needs of target populations.,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",0.8,0.6,0.8
19817,19-5012.00,19,Occupational Health and Safety Technicians,Supplemental,3.25,Test or balance newly installed HVAC systems to determine whether indoor air quality standards are met.,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.",0.45,0.2,0.6
20248,19-5012.00,19,Occupational Health and Safety Technicians,Core,3.81,"Verify availability or monitor use of safety equipment, such as hearing protection or respirators.","Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.",0.5,0.25,0.6
21211,51-9195.05,51,"Potters, Manufacturing",Core,4.63,"Mix and apply glazes to pottery pieces, using tools, such as spray guns.","Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.",0.2,0.1,0.2
10141,51-4033.00,51,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Core,3.92,"Lift and position workpieces, manually or with hoists, and secure them in hoppers or on machine tables, faceplates, or chucks, using clamps.","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.",0.2,0.1,0.2
5540,19-4012.00,19,Agricultural Technicians,Supplemental,3.42,"Perform general nursery duties, such as propagating standard varieties of plant materials, collecting and germinating seeds, maintaining cuttings of plants, or controlling environmental conditions.","Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects.",0.2,0.1,0.2
14107,51-6042.00,51,Shoe Machine Operators and Tenders,Core,3.98,Turn knobs to adjust stitch length and thread tension.,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.",0.45,0.25,0.55
19414,49-2021.00,49,"Radio, Cellular, and Tower Equipment Installers and Repairers",Core,3.63,"Take site survey photos or photos of work performed, using digital cameras.","Repair, install, or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles. May test and analyze network coverage.",0.45,0.2,0.6
3547,17-1022.00,17,Surveyors,Supplemental,3.33,"Locate and mark sites selected for geophysical prospecting activities, such as efforts to locate petroleum or other mineral products.","Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",0.45,0.25,0.55
22724,29-1214.00,29,Emergency Medicine Physicians,Core,4.46,"Identify factors that may affect patient management, such as age, gender, barriers to communication, and underlying disease.","Make immediate medical decisions and act to prevent death or further disability. Provide immediate recognition, evaluation, care, stabilization, and disposition of patients. May direct emergency medical staff in an emergency department.",0.4,0,0.7
9549,37-2011.00,37,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Core,3.46,Clean and polish furniture and fixtures.,"Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk.",0.2,0.1,0.2
6212,25-1111.00,25,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Supplemental,3.67,"Perform administrative duties, such as serving as department head.","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.45,0.25,0.55
191,19-1029.04,19,Biologists,Supplemental,3.81,Prepare plans for management of renewable resources.,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",0.8,0.6,0.8
21951,17-3012.00,17,Electrical and Electronics Drafters,Core,4.44,"Draft detail and assembly drawings of design components, circuitry or printed circuit boards, using computer-assisted equipment or standard drafting techniques and devices.","Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.",0.8,0.6,0.8
88,13-1051.00,13,Cost Estimators,Core,3.16,"Prepare and maintain a directory of suppliers, contractors and subcontractors.","Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",0.55,0.3,0.6
15341,33-9093.00,33,Transportation Security Screeners,Core,4.91,"Inspect carry-on items, using x-ray viewing equipment, to determine whether items contain objects that warrant further investigation.","Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints.",0.2,0,0.25
6485,25-2011.00,25,"Preschool Teachers, Except Special Education",Core,3.97,Organize and label materials and display students' work in a manner appropriate for their ages and perceptual skills.,"Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.",0.45,0.25,0.55
653,39-5012.00,39,"Hairdressers, Hairstylists, and Cosmetologists",Supplemental,3.06,"Give facials to patrons, using special compounds, such as lotions and creams.","Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.",0.45,0.25,0.55
19924,53-6051.07,53,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Supplemental,3.43,Attach onboard diagnostics (OBD) scanner cables to vehicles to conduct emissions inspections.,"Inspect and monitor transportation equipment, vehicles, or systems to ensure compliance with regulations and safety standards.",0.45,0.15,0.6
16991,19-4099.03,19,Remote Sensing Technicians,Core,4.06,Integrate remotely sensed data with other geospatial data.,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.",0.8,0.6,0.8
6688,25-2032.00,25,"Career/Technical Education Teachers, Secondary School",Core,4.23,"Guide and counsel students with adjustments, academic problems, or special academic interests.","Teach occupational, vocational, career, or technical subjects to students at the secondary school level.",0.4,0.15,0.6
22551,27-2041.00,27,Music Directors and Composers,Core,4.18,"Transcribe ideas for musical compositions into musical notation, using instruments, pen and paper, or computers.","Conduct, direct, plan, and lead instrumental or vocal performances by musical artists or groups, such as orchestras, bands, choirs, and glee clubs; or create original works of music.",0.9,0.8,0.9
1361,17-2071.00,17,Electrical Engineers,Core,3.4,Assist in developing capital project programs for new equipment or major repairs.,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",0.4,0.15,0.6
